nursery,forgery,messy,ˈnərsəri,ˈfɔrʤəri,ˈmɛsi
kinship,grip,disagreement,ˈkɪnˌʃɪp,grɪ,dɪsəˈgrimənt
provide,tide,playwright,prəˈvaɪd,taɪ,ˈpleɪˌraɪt
run,dun,efficiency,rən,dən,ɪˈfɪʃənsi
stare,clear,handsaw,stɛr,klɪr,ˈhændˌsɔ
bussed,trust,charm,bəst,trəst,ʧɑrm
bit,admit,tame,bɪt,ədˈmɪt,teɪm
eaten,meeting,understanding,ˈitən,ˈmitɪŋ,ˌəndərˈstændɪŋ
rock,squawk,clipper,rɑk,skwɔ,ˈklɪpər
prisoner,similar,argue,ˈprɪzənər,ˈsɪmələr,ˈɑrgju
north,worth,fetch,nɔrθ,wərθ,fɛʧ
cabinet,advocate,cappelletti,ˈkæbənət,ˈædvəˌkeɪt,kɑpɛˈlɛti
riding,biting,contain,ˈraɪdɪŋ,ˈbaɪtɪŋ,kənˈteɪn
optical,optimist,headrest,ˈɑptɪkəl,ˈɑptɪmɪ,ˈhɛˌdrɛst
regarding,parking,dangerous,rɪˈgɑrdɪŋ,ˈpɑrkɪ,ˈdeɪnʤərəs
ensure,care,yawn,ɪnˈʃʊr,kɛ,jɔn
muddled,jumbled,resolution,ˈmədəld,ˈʤəmbə,ˌrɛzəˈluʃən
home,styrofoam,amuse,hoʊm,ˈstaɪrəˌfoʊm,əmˈjuz
mom,embalm,ratty,mɑm,ɛmˈbɑ,ˈræti
arthritis,righteous,lie,ɑrθˈraɪtɪs,ˈraɪʧə,laɪ
way of life,knife,robust,weɪ əv laɪf,naɪf,roʊˈbəst
vector,texture,restaurant,ˈvɛktər,ˈtɛksʧə,ˈrɛˌstrɑnt
bus,gus,sunflower,bəs,gə,ˈsənˌflaʊər
fall,forestall,mocha,fɔl,fɔrˈstɔ,ˈmoʊkə
oversleep,weep,alarm,ˌoʊvərsˈlip,wi,əˈlɑrm
pyro,hero,sugar,ˈpaɪroʊ,ˈhɪroʊ,ˈʃʊgər
sidewalk,bach,equation,ˈsaɪdˌwɔk,bɑk,ɪkˈweɪʒən
whitefish,wish,purring,ˈwaɪtˌfɪʃ,wɪʃ,pərɪŋ
set,gazette,extension,sɛt,gəˈzɛt,ɪkˈstɛnʃən
royalties,loyalty,lemonade,ˈrɔɪəltiz,ˈlɔɪəlti,ˈlɛməˈneɪd
take,snake,founding,teɪk,sneɪk,ˈfaʊndɪŋ
care,wire,nuke,kɛr,waɪər,nuk
impanel,camel,periodic,ˌɪmˈpænəl,ˈkæmə,ˌpɪriˈɑdɪk
lightfoot,put,compose,ˈlaɪtˌfʊt,pʊ,kəmˈpoʊz
ants,pants,immense,ænts,pænts,ˌɪˈmɛns
candidate,flagellate,oasis,ˈkænədɪt,ˈflæʤəˌleɪ,oʊˈeɪsɪs
patience,station,undress,ˈpeɪʃəns,ˈsteɪʃə,ənˈdrɛs
sunday,lay,agent,ˈsənˌdi,leɪ,ˈeɪʤənt
nervous,dinner service,railing,ˈnərvəs,ˈdɪnər ˈsərvɪ,ˈreɪlɪŋ
stolen,motion,insolence,ˈstoʊlən,ˈmoʊʃən,ˈɪnsələns
coasters,poster,surplus,ˈkoʊstərz,ˈpoʊstər,ˈsərpləs
ozark,remark,use,ˈoʊˌzɑrk,rɪˈmɑ,juz
lake,ache,rocket-ship,leɪk,eɪ,ˈrɑkət ʃɪp
latent,ancient,committee,ˈleɪtənt,ˈeɪnʧənt,kəˈmɪti
cancel,handle,grandiose,ˈkænsəl,ˈhændəl,ˌgrændiˈoʊs
feeling,ceilings,floodplain,ˈfilɪŋ,ˈsilɪ,ˈflədˌpleɪn
elaine,arrange,reject,ˌiˈleɪn,əreɪnʤ,ˈriʤɛkt
tec,wreck,shell,tɛk,rɛ,ʃɛl
choosing,brewing,pride,ˈʧuzɪŋ,bruɪŋ,praɪd
skirt,resort,jelly,skərt,rɪˈzɔrt,ˈʤɛli
quote,creosote,eclipse,kwoʊt,ˈkriəˌsoʊt,ɪˈklɪps
disillusioned,disillusion,student,ˌdɪsɪˈluʒənd,ˌdɪsɪˈluʒən,ˈstudənt
snide,aside,precede,snaɪd,əˈsaɪd,prɪˈsid
copper,daughter,inexpensive,ˈkɑpər,ˈdɔtər,ˌɪnɪkˈspɛnsɪv
cynical,criminal,cuff-link,ˈsɪnɪkəl,ˈkrɪmənə,kəf lɪŋk
emerald,burel,update,ˈɛmərrəld,ˈbɛrə,ˈəpˌdeɪt
fire,star,fashion,faɪər,stɑ,ˈfæʃən
amidst,resist,sousaphone,əˈmɪdst,rɪˈzɪst,ˈsuzəˌfoʊn
appreciate,vacillate,launch,əˈpriʃiˌeɪt,ˈvæsəˌleɪ,lɔnʧ
country,runny,detective,ˈkəntri,ˈrəni,dɪˈtɛktɪv
brain,strain,founding,breɪn,streɪ,ˈfaʊndɪŋ
dinnertime,climb,diagram,ˈdɪnərˌtaɪm,klaɪ,ˈdaɪəˌgræm
burgess,gorgeous,passport,ˈbərʤəs,ˈgɔrʤəs,ˈpæˌspɔrt
selling,herring,parade,ˈsɛlɪŋ,ˈhɛrɪŋ,pəreɪd
lend,bookend,spotless,lɛnd,ˈbʊˌkɛnd,ˈspɑtləs
suddenly,company,achieve,ˈsədənli,ˈkəmpəˌni,əˈʧiv
sly,fly,diligent,slaɪ,flaɪ,ˈdɪlɪʤənt
dead,watershed,autumn,dɛd,ˈwɔtərˌʃɛd,ˈɔtəm
crown,hometown,preservation,kraʊn,ˈhoʊmˌtaʊn,ˌprɛzərˈveɪʃən
helpful,helpless,lick,ˈhɛlpfəl,ˈhɛlplə,lɪk
daisy,annese,paramedic,ˈdeɪzi,ɑˈneɪzi,ˌpɛrəˈmɛdɪk
monkey,husky,aside,ˈməŋki,ˈhəski,əˈsaɪd
deficient,definition,romantic,dɪˈfɪʃənt,ˌdɛfəˈnɪʃən,roʊˈmæntɪk
reload,railroad,protect,riˈloʊd,ˈreɪˌlroʊ,prəˈtɛkt
mariachi,morace,witch,ˌmɑriˈɑʧi,mɔˈrɑʧi,wɪʧ
pimp,fairy shrimp,beverage,pɪmp,ˈfɛri ʃrɪmp,ˈbɛvərɪʤ
jib,slip,carry,ʤɪb,slɪ,ˈkɛri
bright,cite,consider,braɪt,saɪ,kənˈsɪdər
recusing,choosing,committee,ˌrɪˈkjuzɪŋ,ˈʧuzɪŋ,kəˈmɪti
jonah,sonar,vivo,ˈʤoʊnə,ˈsoʊnɑ,ˈvivoʊ
scarred,boulevard,bowler,skɑrd,ˈbʊləˌvɑ,ˈboʊlər
celtics,melted,season,ˈsɛltɪks,ˈmɛltɪd,ˈsizən
rochelle salt,fault,tower,ˌrəˈʃɛl sɔlt,fɔ,taʊər
sleepy,cheeky,meet,sˈlipi,ˈʧiki,mit
scurry,fairy,publishing,ˈskəri,ˈfɛri,ˈpəblɪʃɪŋ
plea,see,architecture,pli,si,ˈɑrkəˌtɛkʧər
spark,dirk,original,spɑrk,də,ərˈɪʤənəl
gaudy,jolly,schooner,ˈgɔdi,ˈʤɑli,ˈskunər
everything,ding,rampant,ˈɛvriˌθɪŋ,dɪŋ,ˈræmpənt
pants,dance,insurance,pænts,dæ,ˌɪnˈʃʊrəns
disagree,secede,tradition,dɪsəˈgri,sɪˈsi,trəˈdɪʃən
flour,sour,clock,flaʊər,saʊə,klɑk
carving,morphing,hometown,ˈkɑrvɪŋ,ˈmɔrfɪŋ,ˈhoʊmˌtaʊn
stella,jealous,buyer,ˈstɛlə,ˈʤɛlə,baɪər
present,inclement,tortilla,ˈprɛzənt,ˌɪnˈklɛmə,tɔrˈtiə
bottle,gotta,corn,ˈbɑtəl,ˈgɑtə,kɔrn
confined,blind,odometer,kənˈfaɪnd,blaɪ,ˌoʊˈdɑmətər
love,speak of,romance,ləv,spik ə,ˈroʊmæns
alligator,rader,fascinated,ˈæləˌgeɪtər,ˈreɪdər,ˈfæsəˌneɪtɪd
compare,rapport,scorpion,kəmˈpɛr,ræˈpɔ,ˈskɔrpiən
sake,betake,sheet,seɪk,biˈteɪ,ʃit
leapfrog,hog,jealousy,ˈlipˌfrɔg,hɑg,ˈʤɛləsi
photograph,half,footprint,ˈfoʊtəˌgræf,hæ,ˈfʊtˌprɪnt
listen,rendition,bull-fighter,ˈlɪsən,rɛnˈdɪʃən,bʊl ˈfaɪtər
trash,backslash,arch-rival,træʃ,ˈbæksˌlæ,ɑrʧ ˈraɪvəl
fallout,shout,adopt,ˈfɔˌlaʊt,ʃaʊ,əˈdɑpt
tramp,street lamp,milkshake,træmp,strit læ,ˈmɪlkˌʃeɪk
thief,beef,earmuffs,θif,bi,ˈɪrˌməfs
cry,why,cue,kraɪ,waɪ,kju
super,humor,training,ˈsupər,ˈhjumər,ˈtreɪnɪŋ
regret,ahead,outhouse,rɪˈgrɛt,əˈhɛ,ˈaʊˌthaʊs
thankful,embankment,insomnia,ˈθæŋkfəl,ɛmˈbæŋkmənt,ˌɪnˈsɑmniə
pharoah,narrow,mantle,ˈfɛroʊ,ˈnɛroʊ,ˈmæntəl
trifling,styling,wasteful,ˈtraɪflɪŋ,ˈstaɪlɪŋ,ˈweɪstfəl
clothes,groves,serial,kloʊðz,groʊvz,ˈsɪˌriəl
deliberately,sympathy,lane,dɪˈlɪbərətli,ˈsɪmpəθi,leɪn
mint,hint,unique,mɪnt,hɪnt,juˈnik
hour,staying power,terror,aʊər,steɪɪŋ paʊər,ˈtɛrər
police,pease,respite,pəˈlis,piz,ˈrɛspɪt
brock,knock,murder,brɑk,nɑ,ˈmərdər
pretend,accent,pattern,priˈtɛnd,ˈækˌsɛnt,ˈpætərn
brown,turn down,airfield,braʊn,tərn daʊn,ˈɛrˌfild
slow,mow,neighborly,sloʊ,moʊ,ˈneɪbərli
mckim,swim,dwell,məˈkɪm,swɪm,dwɛl
leith,breathe,lag,liθ,bri,læg
pen,jen,teapot,pɛn,ʤɛn,ˈtiˌpɑt
lunch,glass sponge,jerk,lənʧ,glæs spənʤ,ʤərk
amphetamines,means,mainstream,æmˈfɛtəˌminz,mi,ˈmeɪnˌstrim
rage,disengage,peer-to-peer,reɪʤ,dɪsɪnˈgeɪʤ,pɪr tɪ pɪr
brat,flat,dashboard,bræt,flæt,ˈdæʃˌbɔrd
trash,pash,image,træʃ,pæ,ˈɪmɪʤ
night,neophyte,raffle,naɪt,ˈniəˌfaɪ,ˈræfəl
missed,gift,crime,mɪst,gɪ,kraɪm
tan,journeyman,tell,tæn,ˈʤərniˌmæ,tɛl
poon,saloon,segment,pun,səˈlu,ˌsɛgˈmɛnt
slaughtering,offering,improvement,sˈlɔtərɪŋ,ˈɔfərɪŋ,ˌɪmˈpruvmənt
statehood,dogwood,waterfront,ˈsteɪˌthʊd,ˈdɔgˌwʊd,ˈwɔtərˌfrənt
screw,into,creepy,skru,ˈɪntu,ˈkripi
wink,interlink,cancer,wɪŋk,ˌɪntərˈlɪ,ˈkænsər
startle,mortal,detection,ˈstɑrtəl,ˈmɔrtəl,dɪˈtɛkʃən
prisoner,parishioner,rake,ˈprɪzənər,pərˈɪʃənə,reɪk
gene,teen,molar,ʤin,tin,moʊlʌɹ
vitamin,violence,enrollment,ˈvaɪtəmən,ˈvaɪələns,ɛnˈroʊlmənt
internship,tip,masterpiece,ˈɪntərnˌʃɪp,tɪ,ˈmæstərˌpis
microscope,rope,sequence,ˈmaɪkrəˌskoʊp,roʊp,ˈsikwəns
glimpse,links,deserve,glɪmps,lɪŋks,dɪˈzərv
conder,wander,sympathy,ˈkɑndər,ˈwɑndə,ˈsɪmpəθi
invite,valentine,slot,ˌɪnˈvaɪt,ˈvælənˌtaɪ,slɑt
glove,out of,exposition,gləv,aʊt ə,ˌɛkspəˈzɪʃən
do,skew,cautious,du,skju,ˈkɔʃəs
realize,idolized,shipping,ˈriəˌlaɪz,ˈaɪdəˌlaɪzd,ˈʃɪpɪŋ
firstborn,horn,memory,ˈfərstˈbɔrn,hɔ,ˈmɛməri
tomorrow,indigo,fedora,təˈmɑˌroʊ,ˈɪndɪˌgoʊ,fɪˈdɔrə
creek,teak,absent,krik,tik,ˈæbsənt
myth,go with,sandbar,mɪθ,goʊ wɪ,ˈsændˌbɑr
choir,dryer,razor,kwaɪər,draɪə,ˈreɪzər
embarrassed,garish,difficulty,ɪmˈbɛrəst,ˈgɛrɪ,ˈdɪfɪˌkəlti
wash,losch,thigh,wɑʃ,lɔ,θaɪ
comfort,tougher,haste,ˈkəmfərt,ˈtəfər,heɪst
pier,obscure,twist,pɪr,əbˈskjʊ,twɪst
puller,pusher,bunch,ˈpʊlər,ˈpʊʃə,bənʧ
caucus,office,wood,ˈkɔkəs,ˈɔfəs,wʊd
darrow,sparrow,shower,ˈdɛroʊ,ˈspɛroʊ,ʃaʊər
boice,choice,gazebo,bɔɪs,ʧɔɪ,ɡʌziboʊ
shoulder,rover,ambitious,ˈʃoʊldər,ˈroʊvər,æmˈbɪʃəs
suppose,repose,dark,səˈpoʊz,riˈpoʊz,dɑrk
doing,cooing,bugle,duɪŋ,kuɪŋ,ˈbjugəl
beer,concur,ginseng,bɪr,kənˈkə,ˈʤɪnˌsɛŋ
ear,score,mix,ɪr,skɔ,mɪks
happen,platen,relief,ˈhæpən,ˈplætə,rɪˈlif
tandem,random,resist,ˈtændəm,ˈrændə,rɪˈzɪst
offend,spend,cookie,əˈfɛnd,spɛ,ˈkʊki
lorry,story,impediment,ˈlɔri,ˈstɔri,ˌɪmˈpɛdəmənt
coat,connote,notepad,koʊt,kəˈnoʊ,noʊtpæd
guide,bide,knitting,gaɪd,baɪd,ˈnɪtɪŋ
out of print,mint,popularity,aʊt əv prɪnt,mɪnt,ˌpɑpjəˈlɛrəti
system,pistol,fence,ˈsɪstəm,ˈpɪstəl,fɛns
dig,sig,angel,dɪg,sɪg,ˈeɪnʤəl
blitz,miss,obtain,blɪts,mɪ,əbˈteɪn
numbered,comfort,autumn,ˈnəmbərd,ˈkəmfə,ˈɔtəm
penny,berry,teriyaki,ˈpɛni,ˈbɛri,ˌtɛrɪˈjɑki
rudy,beauty,pond,ˈrudi,ˈbjuti,pɑnd
awning,longing,bassoon,ˈɑnɪŋ,ˈlɔŋɪ,bəˈsun
celery salt,thunderbolt,builder,ˈsɛləri sɔlt,ˈθəndərˌbɔlt,ˈbɪldər
porridge,courage,flawless,ˈpɔrəʤ,kərɪʤ,ˈflɔləs
satellite,lite,trim,ˈsætəˌlaɪt,laɪ,trɪm
reveal,guillotine,antechamber,rɪˈvil,ˈgɪləˌtin,æntɛtʃeɪmbɜ˞
key,ski,toothpick,ki,ski,ˈtuθˌpɪk
beg,hegge,food,bɛg,hɛg,fud
mean,gene,discussion,min,ʤin,dɪˈskəʃən
thrust,flushed,stock,θrəst,fləʃt,stɑk
there,sir,cockroach,ðɛr,sə,ˈkɑˌkroʊʧ
went,tent,bring,wɛnt,tɛ,brɪŋ
brewing,doing,absorbed,bruɪŋ,duɪ,əbˈzɔrbd
tear,spar,party,tɪr,spɑ,ˈpɑrti
summit,button,foundation,ˈsəmɪt,ˈbətən,faʊnˈdeɪʃən
broken,odin,echidna,ˈbroʊkən,ˈoʊdə,ˌɛˈkɪdnə
can,cyan,guacamole,kən,saɪæn,gˌwɑkəˈmoʊli
nice,beats,burlesque,nis,bi,bərˈlɛsk
sun flowers,sunflower,tall,sən flaʊərz,ˈsənˌflaʊə,tɔl
request,crest,archer,rɪkˈwɛst,krɛ,ˈɑrʧər
unborn,corn,sleeping,ˈənˈbɔrn,kɔ,sˈlipɪŋ
link,pink,ram,lɪŋk,pɪ,ræm
shut,but,x-rated,ʃət,bət,ɛks ˈreɪtɪd
courage,encouraged,ripe,kərɪʤ,ɪnˈkərə,raɪp
sympathy,industry,mangrove,ˈsɪmpəθi,ˈɪndəstri,ˈmæŋˌgroʊv
discretion,appreciation,leprosy,dɪˈskrɛʃən,əˌpriʃiˈeɪʃə,ˈlɛprəsi
apogee,ski,retention,ˈæpəˌʤi,ski,riˈtɛnʃən
bother,fathers,bouquet,ˈbɑðər,ˈfɑðə,buˈkeɪ
staring,checking,candle,ˈstɛrɪŋ,ˈʧɛkɪ,ˈkændəl
screw,shoe,vehicle,skru,ʃu,ˈviɪkəl
broad,trod,customer,brɔd,trɑ,ˈkəstəmər
october,loafer,robe,ɑkˈtoʊbər,ˈloʊfə,roʊb
touchdown,allow,incubation,ˈtəʧˌdaʊn,əˈlaʊ,ˌɪŋkjuˈbeɪʃən
wherewithal,hall,tuition,ˈwɛrwɪˌðɔl,hɔ,tjuˈɪʃən
eyelash,backslash,pentagon,ˈaɪˌlæʃ,ˈbæksˌlæ,ˈpɛnɪˌgɑn
remind,confide,accidental,riˈmaɪnd,kənˈfaɪ,ˌæksəˈdɛnəl
sunshine,delight,proctor,ˈsənˌʃaɪn,dɪˈlaɪ,ˈprɑktər
survive,realize,campus,sərˈvaɪv,ˈriəˌlaɪ,ˈkæmpəs
curse,course,meridian,kərs,kɔrs,mərˈɪdiən
well,nutshell,edge,wɛl,ˈnətˌʃɛl,ɛʤ
full,mehul,interject,fʊl,ˈmɛˌhʊ,ˌɪntərˈʤɛkt
core,corps,beret,kɔr,kɔrz,ˈbɛrət
example,scramble,competition,ɪgˈzæmpəl,ˈskræmbəl,ˌkɑmpəˈtɪʃən
necromancer,dancer,arrival,ˈnɛkrəˌmænsər,ˈdænsə,ərˈaɪvəl
exemplify,die,calculation,ɪgˈzɛmpləˌfaɪ,daɪ,ˌkælkjəˈleɪʃən
turban squash,wash,future,ˈtərbən skwɑʃ,wɑʃ,fˈjuʧər
anyone,one by one,rid,ˈɛniˌwən,wən baɪ wə,rɪd
increase,reveal,goose,ˌɪnˈkris,rɪˈvi,gus
dealing,mealing,grub,ˈdilɪŋ,ˈmilɪŋ,grəb
wait,delineate,kitten,weɪt,dɪˈlɪniˌeɪt,ˈkɪtən
panned,strand,signet,pænd,stræ,ˈsɪgnɪt
anthropology,equality,wallet,ˌænθrəˈpɑləʤi,ɪkˈwɑləti,ˈwɔlət
unemployment,toilet,lettuce,ˌənɪmˈplɔɪmənt,ˈtɔɪlət,ˈlɛtəs
ophthalmologist,optimist,abortion,ˌɑpθəˈmɑləʤɪst,ˈɑptɪmɪ,əˈbɔrʃən
victim,criticism,mail,ˈvɪktɪm,ˈkrɪtɪˌsɪzə,meɪl
hatchet,jacket,train,ˈhæʧət,ˈʤækɪt,treɪn
bait,rate,harvester,beɪt,reɪ,ˈhɑrvəstər
youth,muth,pain,juθ,mu,peɪn
vase,showcase,merit,vɑz,ˈʃoʊˌkeɪs,ˈmɛrət
drop,daub,fertile,drɔp,dɔb,ˈfərtəl
magical,geographical,saloon,ˈmæʤɪkəl,ˌʤiəˈgræfɪkə,səˈlun
khan,dawn,controversy,kɑn,dɔ,ˈkɑntrəˌvərsi
free,see,haste,fri,si,heɪst
duve,prove,sub,duv,pruv,səb
reaffirm,worm,radar,ˌriəˈfərm,wərm,ˈreɪˌdɑr
hand,hanged,thug,hænd,hæ,θəg
confess,excess,pineapple,kənˈfɛs,ˈɛkˌsɛs,ˈpaɪˌnæpəl
comply,spy,tree,kəmˈplaɪ,spaɪ,tri
hook,gobbledygook,camera,hʊk,ˌgɑbəldiˈgʊ,ˈkæmərə
appreciation,frustration,solvency,əˌpriʃiˈeɪʃən,frəˈstreɪʃən,ˈsɔlvənsi
downswing,bring,burrito,ˈdaʊnsˌwɪŋ,brɪŋ,bərˈitoʊ
clan,van,lazy,klæn,væ,ˈleɪzi
cow,chao,drain,kaʊ,ʧaʊ,dreɪn
love child,wild,yoke,ləv ʧaɪld,waɪld,joʊk
sack,hack,cardigan,sæk,hæk,ˈkɑrdɪgən
farm,worm,boundary,fɑrm,wə,ˈbaʊndəri
suck,woodchuck,hype,sək,ˈwʊˌdʧək,haɪp
consummate,straight,marshmallow,ˈkɑnsəˌmeɪt,streɪt,ˈmɑrʃˌmɛloʊ
run,pun,ore,rən,pən,ɔr
double,funnel,ginger,ˈdəbəl,ˈfənə,ˈʤɪnʤər
rapper,platter,analyze,ˈræpər,ˈplætə,ˈænəˌlaɪz
draw,shaw,assorted,drɔ,ʃɔ,əˈsɔrtɪd
deserve,curve,distinction,dɪˈzərv,kərv,dɪˈstɪŋkʃən
circle,merkin,custard,ˈsərkəl,ˈmərkɪ,ˈkəstərd
zero,hippo,aback,ˈziroʊ,ˈhɪpoʊ,əˈbæk
slander,lantern,world,sˈlændər,ˈlæntə,wərld
way,cliche,restriction,weɪ,kliˈʃeɪ,riˈstrɪkʃən
legend,discretion,caboose,ˈlɛʤənd,dɪˈskrɛʃən,kəˈbus
pedal,settle,parole,ˈpɛdəl,ˈsɛtəl,pəroʊl
rota,total,lovely,ˈroʊtə,ˈtoʊtəl,ˈləvli
lightened,lighten,epic,ˈlaɪtənd,ˈlaɪtə,ˈɛpɪk
duck,fuck,minute,dək,fək,ˈmɪnət
cool,ghoul,intervenor,kul,gul,ˌɪntərˈvinər
horn,scorn,grin,hɔrn,skɔrn,grɪn
bale,scale,headphones,beɪl,skeɪ,ˈhɛdˌfoʊnz
string,king,bottling,strɪŋ,kɪŋ,ˈbɑtəlɪŋ
final,palatine hill,wealthy,ˈfaɪnəl,ˈpæləˌtaɪn hɪ,ˈwɛlθi
serving,service,energy,ˈsərvɪŋ,ˈsərvɪ,ˈɛnərʤi
readily,recipe,increase,ˈrɛdəli,ˈrɛsəpi,ˌɪnˈkris
fend,mend,boy,fɛnd,mɛnd,bɔɪ
abscond,beyond,boil,æbˈskɑnd,bɪɔ,bɔɪl
wane,brain,thought,weɪn,breɪ,θɔt
connecticut,benefit,bookcase,kəˈnɛtəkət,ˈbɛnəfɪt,ˈbʊkˌkeɪs
fault,onion salt,whorl,fɔlt,ˈənjən sɔ,wərl
dudley,bloody,earrings,ˈdədli,ˈblədi,ˈɪrɪŋz
skill,fulfill,tavern,skɪl,fʊlˈfɪl,ˈtævərn
giller,pillar,skillful,ˈgɪlər,ˈpɪlə,ˈskɪlfəl
granny,daddy,resort,ˈgræni,ˈdædi,rɪˈzɔrt
converge,church,achievement,kənˈvərʤ,ʧə,əˈʧivmənt
yak,snack,outback,jæk,snæ,ˈaʊtˌbæk
gist,list,tomorrow,ʤɪst,lɪ,təˈmɑˌroʊ
stop,op,elevator,stɑp,ɔp,ˈɛləˌveɪtər
frozen,closing,handsome,ˈfroʊzən,ˈkloʊzɪŋ,ˈhænsəm
ascribe,prescribe,beat,əˈskraɪb,prəˈskraɪ,bit
pawned,bond,bathroom,pɔnd,bɑ,ˈbæθˌrum
obit,kit,crackers,ˈoʊbɪt,kɪt,ˈkrækərz
brier,liar,alloy,braɪər,laɪər,ˈæˌlɔɪ
recede,greed,runaway,rɪˈsid,grid,ˈrənəˌweɪ
shield,wheeled,regime,ʃild,wi,rəˈʒim
forgave,wave,boundless,fərˈgeɪv,weɪ,ˈbaʊndləs
taxer,tractor,privilege,ˈtæksər,ˈtræktər,ˈprɪvɪlɪʤ
blanc,blank,satisfaction,blæŋk,blæŋk,ˌsætɪsˈfækʃən
warm,forearm,slice,wɔrm,ˈfɔˌrɑ,slaɪs
fend,friend,eclipse,fɛnd,frɛ,ɪˈklɪps
pathetic,hysteric,facet,pəˈθɛtɪk,ˌhɪˈstɛrɪ,ˈfæsət
print,dint,triad,prɪnt,dɪnt,traɪæd
evening,pleasing,quack,ˈivnɪŋ,ˈplizɪ,kwæk
breaker,radar,conflict,ˈbreɪkər,ˈreɪˌdɑ,ˈkɑnflɪkt
unique,leak,buffer,juˈnik,lik,ˈbəfər
concur,pier,suspenders,kənˈkər,pɪr,səˈspɛndərz
altamont,aunt,dressing,ˈɑltəˌmɔnt,ɔnt,ˈdrɛsɪŋ
dial,pilot,mirror,daɪəl,ˈpaɪlə,ˈmɪrər
slaughter,corner,puzzled,sˈlɔtər,ˈkɔrnər,ˈpəzəld
bass,mace,self-control,bæs,meɪ,sɛlf kənˈtroʊl
feeble,sequel,lawmaker,ˈfibəl,ˈsikwə,ˈlɔˌmeɪkər
obsolete,beat,cranberry,ˌɑbsəˈlit,bi,ˈkrænˌbɛri
plain stitch,rich,proponent,pleɪn stɪʧ,rɪʧ,prəˈpoʊnənt
pick,shtick,story,pɪk,ʃtɪk,ˈstɔri
architect,respect,helicopter,ˈɑrkəˌtɛkt,rɪˈspɛkt,ˈhɛlɪˌkɑptər
imagine,dragon,swimsuit,ˌɪˈmæʤən,ˈdrægən,sˈwɪmˌsut
indigo,glow,left,ˈɪndɪˌgoʊ,gloʊ,lɛft
that,cat,segment,ðət,kæ,ˌsɛgˈmɛnt
lose,fuse,punch,luz,fju,pənʧ
discerning,warning,inquiry,dɪˈsərnɪŋ,ˈwɔrnɪ,ˌɪnkˈwaɪˌri
elect,reflect,face,ɪˈlɛkt,rɪˈflɛ,feɪs
bag,bundestag,ascot,bæg,ˈbəndəˌstæ,ˈæˌskɑt
freight,trait,auto,freɪt,treɪ,ˈɔtoʊ
pig,nigg,indication,pɪg,nɪg,ˌɪndəˈkeɪʃən
sale,dovetail,bombing,seɪl,ˈdəvˌteɪ,ˈbɑmɪŋ
noodle,fuel,character,ˈnudəl,fjuə,ˈkɛrɪktər
sew,low,tap,soʊ,loʊ,tæp
west,crest,guacamole,wɛst,krɛ,gˌwɑkəˈmoʊli
correct,effect,island,kərˈɛkt,ˈifɛ,ˈaɪlənd
hello,grow,rustic,hɛˈloʊ,groʊ,ˈrəstɪk
dire,floor,tip,daɪər,flɔr,tɪp
certified,qualify,piety,ˈsərtəˌfaɪd,kˈwɑləˌfaɪ,ˈpaɪəti
vacation,aspiration,rat,veɪˈkeɪʃən,ˌæspərˈeɪʃən,ræt
sake,drake,tribe,seɪk,dreɪ,traɪb
team,theme,dollar,tim,θi,ˈdɔlər
tenderness,wilderness,trooper,ˈtɛndərnəs,ˈwɪldərnəs,ˈtrupər
depth,breadth,tactics,dɛpθ,brɛ,ˈtæktɪks
impression,suppression,athletics,ˌɪmˈprɛʃən,səˈprɛʃə,æθˈlɛtɪks
naive,achieve,neighborhood,naɪiv,əˈʧiv,ˈneɪbərˌhʊd
plate,hate,deafening,pleɪt,heɪ,ˈdɛfənɪŋ
unravel,battle,nexus,ənˈrævəl,ˈbætəl,ˈnɛksəs
most,host,bonfire,moʊst,hoʊ,ˈbɑnˌfaɪər
jammed,land,seaside,ʤæmd,lænd,ˈsiˌsaɪd
plan,divan,burn-out,plæn,dɪˈvæ,bərn aʊt
barrow,zero,bowler,ˈbɛroʊ,ˈziroʊ,ˈboʊlər
ankle,anxious,soup,ˈæŋkəl,ˈæŋʃə,sup
so,meadow,ram,soʊ,ˈmɛˌdoʊ,ræm
precarious,curious,aide,priˈkɛriəs,ˈkjʊriə,eɪd
rochelle salt,thunderbolt,blow,ˌrəˈʃɛl sɔlt,ˈθəndərˌbɔ,bloʊ
sign,define,home,saɪn,dɪˈfaɪn,hoʊm
agree,repeat,crucifixion,əˈgri,rɪˈpit,ˌkrusɪˈfɪkʃən
girlfriend,fend,noxious,ˈgərlˌfrɛnd,fɛnd,ˈnɑkʃəs
obtain,reign,dew,əbˈteɪn,reɪ,du
vantage,manage,woolens,ˈvæntɪʤ,ˈmænɪʤ,ˈwʊlənz
battle,status,rebellious,ˈbætəl,ˈstætə,rɪˈbɛljəs
desolate,sensitive,judo,ˈdɛzələt,ˈsɛnsɪtɪ,ˈʤuˌdoʊ
grammy,candy,jaded,ˈgræmi,ˈkændi,ˈʤeɪdɪd
illegal,cecil,bright,ˌɪˈligəl,ˈsisə,braɪt
bottom,botten,self-control,ˈbɑtəm,ˈbɑtə,sɛlf kənˈtroʊl
allspice,rice,prosperity,ˈɔlˌspaɪs,raɪs,prɑˈspɛrəti
bane,grain,motivation,beɪn,greɪn,ˌmoʊtəˈveɪʃən
