information;taken;decomposable
whether;together;lies
me;she;way
constellation;vacation;violate
mine;eyes;war
eat;me;book
holes;shore;apart
own;know;hallelujah
before;year;cent
drug;up;weeks
wallet;got it;you
door;car;use
rose;knows;dead
cruising;using;paradise
too;do;thin
hard;apart;fingertips
mood;smooth;roof
change;rang;reasons
weep;keep;looking
go;glow;replay
memory;be;face
lose;alone;then
alive;died;hear
someone;run;hear
own;on;play
pain;rain;swing
water;darker;late
way;space;to
everywhere;hair;outside
springsteen;seventeen;ass
finally;family;ecstasy
bedroom;shoe;lightning
say;away;sake
again;win;before
hear;for;street
heart;starts;hot
few;two;door
more;law;sand
beginning;living;day
night;sky;rings
spark;dark;old
you;true;roof
beat;eat;should
on;magical;year
smile;time;in
man;band;beat
that;that;sleepin'
again;win;rainbow
be;me;bedroom
knife;right;eye
motion;motorboatin';song
care;beware;alone
right;smile;roam
time;mind;see
reality;electricity;say
slow;radio;long
sometimes;life;away
clean;see;trippin'
roll;slow;mine
fellas;jealous;stars
before;were;time
revival;bible;heart
stars;are;fingertips
subject;except;two
streak;jeep;inside
again;end;those
care;year;those
chance;last;cane
old;told;away
in;within;yours
fire;desire;trash
within;been;knows
book;look;we
way;pay;hair
ties;lights;matter
steam;gasoline;wonderful
arrive;alive;go
disease;knees;sand
again;wondering;freeze
happiness;success;stress
evil;people;deal
next week;catchy;hair
other;together;closer
floor;for;i
in;skin;hear
please;me;me
dry;die;sorry
up;trust;crying
friend;in;times
around;about;pastries
sympathy;me;survive
spin;in;jumping
wasting;a;company
control;ago;go
mascara;wearing;sun
question;lesson;success
way;escape;in
case;space;done
unacceptable;miracle;lefty
sun;sure;sound
time;fine;beach
cold;old;converse
new;you;out
dream;magazine;sun
face;a;chasing
still;until;can
night;right;forming
piece;sea;mansions
ride;by;pill
goodbye;die;levitating
face;away;religious
stuff;up;hanson
cadillac;back;start
told;sold;mind
too;do;play
knees;pieces;anything
toward;hard;root
touched;much;look
see ya;need ya;try
of;love;see
viet cong;saigon;so
you;through;ago
hometown;around;queen
hometown;'round;'round
sings;thing;own
pills;feels;last
hatin';levitating;or
men;again;said
play;pay;taxes
alone;home;sent
shore;holes;simple
fist;cliff;me
everyone;own;end
way;stay;low
boots;roots;lies
time;lies;cover
mad;sad;proud
luck;book;white
bad;sad;tease
away;face;everyone
hon';one;take
time;right;for
hip;clip;blues
here;clear;hear
red;head;blows
magazine;keen;suppose
near;more;within
asked;gas;before
most;ghost;do
asleep;keep;chart
up;love;while
mine;time;guy
go;know;bed
way;day;guitars
that;fast;drawn
lonely;rings;time
revolution;evolution;seen
year;per;petrified
hair;everywhere;bound
see;me;creation
darker;hotter;patience
say;day;lonely
partly;no me;year
heartbreakers;haters;much
implodes;wonderful;really
face;make;tube
long;strong;end
heart;apart;pressure
unconditional;simple;haunted
stand;sand;raincoat
enough;drunk;for
ribbon;giving;sign
read;indeed;space
me;sea;through
away;stay;land
byway;highways;view
cruising;grooving;along
from;some;knows
same;became;stream
can;stand;around
fad;impact;show
would;good;bushwhacked
increase;police;bring
together;weather;hathaway
side;signs;way
through;do;said
anything;train;brain
see;me;raincoat
rope;hope;rye
juiced;school;scare me
lefty;next week;go
time;mind;severed
floor;more;jet speed
mansions;ass in;away
begin;skin;cheek
house;out;me
clues;moves;understand
dead;said;away
tracks;cracks;quit
boy;noise;awakened
ice;bright;could
though;low;shot
hoodie;sugar;society
minute;in it;in
sidewalk;not;california
always;became;goodbye
wheels;feel;signs
dream;jeans;leave
zone;alone;pain
gold;cold;reckless
reminiscing;kissing;lies
sent;present;an
deep;week;that
mind;tried;time
asked;past;little
test;best;wild
implodes;no;plans
some;sun;sarcastic
town;crown;almost
mark;star;cards
sun;more;shown
night;right;fist
summer;tucker;design
peek-a-boo;ooh;there
loose;sue;fine
together;other;show
blue;knew;way
pockets;rockets;saying
die;rye;shun
illusions;conclusions;in
be;me;bright
purpose;service;heart
burn;word;air
cigarette;forget;some
noise;boys;bread
shaking;aching;while
day;say;life
fleshy;hesi;mistake
him;gym;hard
where;care;upgrade
heart;on;president
heard;third;sure
nicotine;fiend;showdown
frogs;dogs;wreck
hiding;shining;president
however;never;hey
in;again;head
you;shoes;confess
street;heat;blind
say;always;in
to;juice;mind
time;dime;days
two;new;understand
anymore;heart;hair
she;be;you
you;do;away
hot;shot;love
away;day;town
fire;higher;air
year;care;alone
bright;like;lies
don't;arrow;down
born with;forget 'em;mistake
say;away;when
i;night;reality
sleep;me;wants
physical;unacceptable;too
doll;fall;fad
ok;away;mama
nor;hear;doing
beat;eve;guys
right;lights;me
happen;clapping;are
part;heart;name
population;generation;off
set;bet;steal
your;were;frown
better;effort;care
person;certain;glove
oppression;recession;up
home;phone;little
mine;lights;long
through;knew;truth
cliche;days;roar
happenstance;am;apart
short;heart;best weed
dream;magazine;ticket
star;scar;get
happiness;stress;embryo
taking;training;coming
too;who;leg
crazy;maybe;do
tight;light;tree
see;seems;chart
same;veins;out
sweet;beat;thought
back;black;rice
fact;trapped;doorstep
mad;said;lady
eyes;hide;do
kiss;give;do
behind;kind;three
more;for;done
money;honey;come
headlights;tonight;alone
court;sort;never
be;tree;about
grams;man;end
old;soul;toward
eye;life;you
hurricane;name;line
away;say;three
brain;same;deep
kiss;live;fun
wants;got;glass
porch;chords;simple
water;matter;away
dream;seen;hole
along;wrong;from
mine;time;wondering
there;care;began
into;you;tight
